Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Mandy's,45.476739353737926,-73.6060528346492,Salad Place
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Villa Du Souvlaki,45.4737034479596,-73.60968628292733,Greek Restaurant
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Pasta Casareccia,45.469365,-73.618174,Italian Restaurant
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Orange Café,45.47737639302769,-73.61555873743795,Breakfast Spot
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Wawel Bakery,45.47267517253425,-73.6118559739787,Bakery
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Rockaberry,45.476081793789106,-73.62241761763958,Dessert Shop
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Première Moisson,45.47671927384971,-73.62176878600496,Bakery
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Amaranto,45.47147800540851,-73.62660292507198,Mexican Restaurant
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Pick Thai,45.47355411001364,-73.60516905784607,Thai Restaurant
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Zone,45.47697295394664,-73.60569911097267,Furniture / Home Store
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Ganges,45.4678576438811,-73.62114873724202,Indian Restaurant
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Maison De Seoul,45.476724104497606,-73.60604279441904,Korean Restaurant
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Dawa,45.46741882047726,-73.62201294496147,Korean Restaurant
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Bangkok Express,45.47522149681185,-73.6232280251801,Thai Restaurant
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,The Standard,45.475921626145606,-73.60707255811766,Coffee Shop
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,5 Saisons Sushi,45.47170938647208,-73.61344095515156,Japanese Restaurant
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Oxford Cafe,45.471149,-73.614458,Breakfast Spot
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Mouton Vert,45.468557572752374,-73.6195611976004,Grocery Store
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Bureau en Gros,45.47580170241276,-73.60742747783661,Paper / Office Supplies Store
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Pinoli's,45.4763952491641,-73.62210322805367,Pizza Place
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Gia Ba,45.47366574459682,-73.62444266268159,Szechuan Restaurant
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Ye Olde Orchard Pub & Grill,45.47605913726932,-73.62259051880066,Pub
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Yeh! Yogourt Glacé et Café,45.476071535587174,-73.62243137671237,Frozen Yogurt Shop
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Poissonnerie Sherbrooke,45.476139048355286,-73.6067276608323,Fish Market
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Pizza Pizza,45.4721095849029,-73.61217498779297,Pizza Place
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,TD Canada Trust,45.467469312596755,-73.62129097039087,Bank
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Starbucks,45.476303,-73.621879,Coffee Shop
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Restaurant Grec Nikas,45.46771822463766,-73.62149259589411,Greek Restaurant
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,TD Canada Trust,45.47704489284102,-73.60528975725174,Bank
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Vegan Rapide,45.466560782797984,-73.62361357050158,Vegetarian / Vegan Restaurant
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Croissants Monkland,45.47644200676793,-73.62223818762362,Bakery
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Marche Akhavan,45.466934986862995,-73.6227087127876,Grocery Store
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Gryphon d'or,45.47156390644795,-73.62658955952199,Tea Room
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Dagwoods La Sandwicherie,45.476734,-73.606367,Sandwich Place
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,PJC Jean Coutu,45.476505244611054,-73.60640118414986,Pharmacy
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Starbucks,45.477537,-73.605416,Coffee Shop
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Pharmaprix,45.476389,-73.605985,Pharmacy
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Pharmaprix,45.474003,-73.623836,Pharmacy
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,A&W,45.475681,-73.606982,Fast Food Restaurant
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,TD Canada Trust,45.473334988469574,-73.6244635283947,Bank
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Yas,45.46998273227582,-73.60880082143775,Persian Restaurant
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Honey Martin,45.468925343532895,-73.61900302138716,Pub
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,PJC Jean Coutu,45.46978192696,-73.61776256939164,Pharmacy
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Esposito,45.47049388297589,-73.61610685528112,Grocery Store
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Chalet Amu Jan,45.46737949983471,-73.62175012126316,Persian Restaurant
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,KFC,45.474223349545866,-73.60884561154025,Fast Food Restaurant
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Épicerie Coréenne et Japonaise,45.467184172837044,-73.62250219036459,Grocery Store
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Thai Express,45.474673,-73.608659,Restaurant
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Shell,45.4746859,-73.60900695,Gas Station
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Second Cup,45.47606945942151,-73.62205616102773,Coffee Shop
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,La Louisiane,45.46942640225689,-73.61795520234166,Cajun / Creole Restaurant
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,La Diperie,45.475696,-73.622347,Ice Cream Shop
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Subway,45.4756138,-73.6236113,Sandwich Place
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,SAQ,45.475556,-73.623128,Liquor Store
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Pharmacie Jean Coutu,45.47283308996058,-73.62523221277797,Pharmacy
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Le Cheese Casse-Croute,45.471445982356954,-73.62662973265004,Mac & Cheese Joint
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Quartier Perse,45.47906739806209,-73.61946416443948,Persian Restaurant
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Al Dente Trattoria,45.4736,-73.62427,Restaurant
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Sub.V,45.47113602456305,-73.61522102137074,Clothing Store
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,RBC Royal Bank,45.4682096494161,-73.6208117659251,Bank
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Boulangerie Jaura,45.472502051025,-73.61187872574291,Bakery
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,SAQ Express,45.467374,-73.621456,Liquor Store
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Pizza Prima,45.47299055907896,-73.61159985281029,Pizza Place
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Typhoon Lounge,45.473781605584435,-73.6243398439854,Bar
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Shabu Shabu BBQ Corea,45.46406708607329,-73.61574957892505,Korean Restaurant
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Tim Hortons,45.47403686406691,-73.60867984598372,Coffee Shop
